id,degree,first_name,last_name,salary
1,PROFESSOR,Nazar,Los,1000.00
2,ASSISTANT,Liza,Martinez,1200.00
3,ASSOCIATE_PROFESSOR,John,Doe,1100.00
4,ASSISTANT,Alice,Smith,1300.00
5,PROFESSOR,David,Johnson,1050.00
6,ASSISTANT,Emily,Anderson,1250.00
7,ASSOCIATE_PROFESSOR,Michael,Williams,1020.00
8,ASSISTANT,Sophia,Brown,1400.00
9,PROFESSOR,James,Miller,1080.00
10,ASSISTANT,Olivia,Jones,1260.00
11,PROFESSOR,William,Wilson,1030.00
12,ASSISTANT,Emma,Davis,1280.00
13,ASSOCIATE_PROFESSOR,Benjamin,Taylor,1070.00
14,ASSISTANT,Charlotte,Evans,1350.00
15,PROFESSOR,Liam,Anderson,1090.00
16,ASSISTANT,Amelia,White,1230.00
17,ASSOCIATE_PROFESSOR,Henry,Green,1060.00
18,ASSISTANT,Ella,Lopez,1380.00
19,PROFESSOR,Samuel,King,1040.00
20,ASSISTANT,Grace,Turner,1270.00
